text;normalization
Syaa skali akn brlibur ke pntai mnjelang mwahggu dpn.;Saya sangat akan berlibur ke pantai menjelang minggu depan.
Aku suukka bnaget olahargaa rennang.;Aku suka banget olahraga renang.
Kamu tahu tahtaa disiplin sangat perlu dalam menempuh pekerjaan ini.;Kamu tahu bahwa disiplin sangat perlu dalam menempuh pekerjaan ini.
Ayoo brrgabuung dan lawan rasa mllaass di hari senin.;Ayo bergabung dan lawan rasa malas di hari Senin.
Kmm jngn mlaas ya daalam belajjar.;Kalian jangan malas ya dalam belajar.
Telur ayam enk ini smuaaa.;Telur ayam enak ini semuanya.
Aku suukkaa berkendaraa naaiik sepeda.;Aku suka berkendara naik sepeda.
Mnurutkmu apanih hadiah terbessar yang bisa kberikan untukku?;Menurutmu apa nih hadiah terbesar yang bisa kuberikan untukmu?
Hri inii aku mao mkaan pizzza di restoo.;Hari ini aku mau makan pizza di resto.
Tidaak adaa salahnya mencoobba hal yng brrbeddaa.;Tidak ada salahnya mencoba hal yang berbeda.
Mnaurutkmu cemilan apaa yg paling enk?;Menurutmu cemilan apa yang paling enak?
Jngan sruh ak pergi, hri ini hjar hujan derass.;Jangan suruh aku pergi, hari ini hujan deras.
Syg aku tdk bisaa ikutt berpergian bersamamu hari inii.;Sayang aku tidak bisa ikut berpergian bersamamu hari ini.
Cmn kita brtemuu d kafe starbuckk jam 3 srenng ya?;Cuma kita bertemu di kafe Starbucks jam 3 sore ya?
Knapa kmu trlalu byak maakn maniss?;Kenapa kamu terlalu banyak makan manis?
Hr ini aku mao latihaan biar bsa unntuk prtemuan besok.;Hari ini aku mau latihan agar bisa untuk pertemuan besok.
Jjgn mrah, siiapaa saja bsaa melakukann kesalaahann.;Jangan marah, siapa saja bisa melakukan kesalahan.
Pdaahal aaq sduah brskalii brrusaha memahamiimu.;Padahal aku sudah berkali-kali berusaha memahamimu.
Hri ini aku benar-benar tlah keppeletaaan.;Hari ini aku benar-benar terlalu kepeletakan.
Sy sekarang sdg belajr bhsa indonesia.;Saya sekarang sedang belajar bahasa Indonesia.
Saya makan sirup di pagi hari.;Saya makan sirup di pagi hari.
Hri ini saya kesiangan bngunnya.;Hari ini saya kesiangan bangunnya.
G dengn teman teman d luar.;Gue dengan teman-teman di luar.
Aku suka mknan ayam geprek.;Aku suka makan ayam geprek.
Mna tdi brangkat kmren?;Mana tadi brangkat kemarin?
Stelah ini aku mao nnton film.;Setelah ini aku mau nonton film.
Kmarin sya mampir ke rmah kamu.;Kemarin saya mampir ke rumah kamu.
G bsa dtng tmpt pngumumannya.;Gak bisa datang tempat pengumumannya.
Adakah yg tau dmn tmpt parkirnya?;Adakah yang tau dimana tempat parkirnya?
Saya bru plajar masak.;Saya baru belajar masak.
Jgn lupa dtng acaranya bsk.;Jangan lupa datang acaranya besok.
Sya brencana blik kmpung bsk.;Saya berencana balik kampung besok.
Aq gk ngerti, bisakah dijelaskan lgi?;Aku gak ngerti, bisakah dijelaskan lagi?
Sya suka warna hijau, km suka warna apa?;Saya suka warna hijau, kamu suka warna apa?
Kira2 mna lbih dekat, kantor pos atau alfa?;Kira-kira mana lebih dekat, kantor pos atau Alfamart?
Tdi sya nnton bola, tpi timnya klah.;Tadi saya nonton bola, tapi timnya kalah.
Sya brhasil msk univrsitas plihan pertama.;Saya berhasil masuk universitas pilihan pertama.
Bsa bntu sya mngangkat bks airnya?;Bisa bantu saya mengangkat boks airnya?
Hri ini cuaca nyaman, adl waktu yg tepat untuk piknik.;Hari ini cuaca nyaman, adalah waktu yang tepat untuk piknik.
Saya mau belajar igt bahasa isyara.;Saya mau belajar bahasa isyarat.
Lapar sekali saya, mlm ini apa ya makanan?;Lapar sekali saya, malam ini apa ya makanan?
Hr ini cuaca bagus bgt, mungkin besok hujan.;Hari ini cuaca bagus banget, mungkin besok hujan.
Ditinggal tmn saat pergi itu rasanya gk enak.;Ditinggal teman saat pergi itu rasanya enggak enak.
Film barat lbh seru dri pd film lokal menurut saya.;Film barat lebih seru dari pada film lokal menurut saya.
Mau kemana km sore ini? Boleh saya ikut?;Mau kemana kamu sore ini? Boleh saya ikut?
Rencana liburan akhir tahun ke jkt brg tmn slama 1 mg.;Rencana liburan akhir tahun ke Jakarta bareng teman selama 1 minggu.
Td ada berita ttg bencana alam, mgkn bsa kt cari tahu.;Tadi ada berita tentang bencana alam, mungkin bisa kita cari tahu.
Krj dari pagi sampe mlm tuh cape bgt, tp hrs dikerjain.;Kerja dari pagi sampai malam tuh cape banget, tapi harus dikerjakan.
Sya gk paham, tdi dia ngmg apa itu di terjemahin.;Saya tidak paham, tadi dia ngomong apa itu diterjemahkan.
Pgnnya sih nyuci baju tp keujanan, jd mles deh.;Pengennya sih nyuci baju tapi keujanan, jadi males deh.
Bnyk yg ngmg brita hoax, kita hrs bijak dlm mnykapi.;Banyak yang ngomong berita hoax, kita harus bijak dalam menyikapinya.
Gk ada plihan lain, kt hrs krj keras demi masa depan.;Gak ada pilihan lain, kita harus kerja keras demi masa depan.
Mau gk mau kt hrs ikutin aturan main yg udh ada.;Mau enggak mau kita harus ikuti aturan main yang sudah ada.
Suka bgt sm hewan peliharaan, jd ga bisa gk ad.;Suka banget sama hewan peliharaan, jadi ga bisa gak ada.
Nnti klo udh ktmuan, kt bicara lbh serius lg.;Nanti kalo udah ketemu, kita bicara lebih serius lagi.
Capek bgt td siang olahraga, tp berasa segar skrg.;Capek banget tadi siang olahraga, tapi berasa segar sekarang.
Sering dengar cerita ttg hntu di tmpat ini, serem ya.;Sering dengar cerita tentang hantu di tempat ini, serem ya.
Ini duit terakhir yg ada, hrs dipake dgn bijak.;Ini duit terakhir yang ada, harus dipakai dengan bijak.
Mlm ini kt ketemu sm teman kuliah lama, rindu deh.;Malam ini kita ketemu sama teman kuliah lama, rindu deh.
Haar inis aya sedang buka bku di kafe.;Hari ini saya sedang buka buku di kafe.
Mereka suka menontn flem horor.;Mereka suka menonton film horor.
Anginnyaa smngat brsama kita.;Anginnya semangat bersama kita.
Saya hbya mnum kopi hangat.;Saya hobi minum kopi hangat.
Plajarannya mudah dicpahmi.;Pelajarannya mudah dipahami.
Skrang waktunya uda shur.;Sekarang waktunya udah sholat.
Mreka bru saja brkmpul lagi.;Mereka baru saja berkumpul lagi.
Ksihan skali anjing trsebut.;Kasihan sekali anjing tersebut.
Smbilan blasan balon mengaht ke angkasa.;Sembilan balon mengarah ke angkasa.
Mreka sduah plajar disini stahun lmaanya.;Mereka sudah belajar di sini setahun lamanya.
Trlihat kucing itu brmain ditempat biasanya.;Terlihat kucing itu bermain di tempat biasanya.
Kmbali lagi ke tmpt ini sungguh mengngtkan.;Kembali lagi ke tempat ini sungguh mengenang.
Tadi saya olhraga di tman terdekat.;Tadi saya olahraga di taman terdekat.
Ktika itu hujan turun scara deras.;Ketika itu hujan turun secara deras.
Mereka bru plajar brbahsa isyarat.;Mereka baru belajar bahasa isyarat.
Didekat itu terdapat tko bunga.;Di dekat itu terdapat toko bunga.
Smangatnya sungguh trlihat jelas.;Semangatnya sungguh terlihat jelas.
Saya mlihatnya trjatuh di lantai.;Saya melihatnya terjatuh di lantai.
Hari ini cuacanya brsuhu panas.;Hari ini cuacanya bersuhu panas.
Sring kali mereka mmbantu orang lain.;Sering kali mereka membantu orang lain.
Hr ini sata pergi ke pasae belanja.;Hari ini saya pergi ke pasar belanja.
Ayok ketmuan di kafe jam 15.00.;Ayok ketemuan di kafe jam 15.00.
Kamu suka makan indomie ta?;Kamu suka makan Indomie kan?
Besok aku gak bs datang ke ptg tmn mu nikah.;Besok aku gak bisa datang ke pesta temanmu nikah.
Acara nya tdi seru bgt.;Acaranya tadi seru banget.
Lagi bngung cr baju yg pas utk pesta tmn ku.;Lagi bingung cari baju yang pas untuk pesta teman ku.
Tolong anter surat ini ke alamat ini.;Tolong antar surat ini ke alamat ini.
Aku br tahu klo kmrn ad latihan tambhn.;Aku baru tahu kalau kemarin ada latihan tambahan.
Siapa yg ambil bku ku tanpa ijin?;Siapa yang ambil buku ku tanpa izin?
Tadi malem nonton bola timnas mnang 3-0.;Tadi malam nonton bola timnas menang 3-0.
Aku skg lg d perjalanan dr jkt ke bndung.;Aku sekarang lagi dalam perjalanan dari Jakarta ke Bandung.
Dpt kiriman parcel dri tmn ku.;Dapat kiriman parcel dari teman ku.
Sory nih sebenernya udh bnyak gangguin.;Maaf nih sebenernya udah banyak gangguin.
Besok jgn lupa blanja sayur ya.;Besok jangan lupa belanja sayur ya.
Perjalanan nya cukup melelahkan tp menyenangkan.;Perjalanan nya cukup melelahkan tapi menyenangkan.
Wktu itu aku lg laper, jd cari mkanan dulu.;Waktu itu aku lagi lapar, jadi cari makanan dulu.
Adik ku bru aja lulus ujian sekolah.;Adik ku baru aja lulus ujian sekolah.
Ibu ku skg lg memasak mkanan di dapur.;Ibu ku sekarang lagi memasak makanan di dapur.
Hri ini cukup panas, aku pgen mndi pkl 15.00.;Hari ini cukup panas, aku pengen mandi pukul 15.00.
Tlng britahu tmn ku klo aku trlmbat dtng.;Tolong beritahu teman ku kalau aku terlambat datang.
Sayya kangin banget;Saya kedinginan banget.
Kamu sauk sekali;Kamu sangat sekali.
Saya saangat lapar;Saya sangat lapar.
Bsk mau jalan-jaln kemana;Besok mau jalan-jalan kemana?
Ayok kesini yuuk;Ayok kesini yuk.
Tolong bantuan saya, tolong;Tolong bantuan saya, tolong.
Tmnku bilng bwa kmu sklh disana bagus;Temanku bilang bahwa kamu sekolah disana bagus.
Maaf, saya lupa bwa bukumu;Maaf, saya lupa bawa bukumu.
Pergi kmna tadi?;Pergi ke mana tadi?
Aku pngn beli baju bru;Aku ingin beli baju baru.
Kt bsa ke prpusatn yuk;Kita bisa ke pusatnya yuk.
Trnyta hari ini hujan gerimis;Ternyata hari ini hujan gerimis.
Maaf, aku gk bs dtg kmrn;Maaf, aku tidak bisa datang kemarin.
Kmu tau gk, tdi aku ketemu tmn lama;Kamu tahu gak, tadi aku ketemu teman lama.
Nnti kt jalan yuk, lg enak cuacanya;Nanti kita jalan yuk, lagi enak cuacanya.
Kmren liat flm bgs di TV;Kemarin lihat film bagus di TV.
Mnta tolong dong, bntarin lampu ini;Minta tolong dong, benerin lampu ini.
Aku pngn mkn eskrim;Aku ingin makan eskrim.
Mau ikut lomba apa besok?;Mau ikut lomba apa besok?
Ada brapa org yg dtg trmsuk kita?;Ada berapa orang yang datang termasuk kita?
Saya tngah mkn sarapan pagi yng enak.;Saya tengah makan sarapan pagi yang enak.
Aku sukaa mknan pedas sprti ayam geprek.;Aku suka makanan pedas seperti ayam geprek.
Kmrin sya prgi kepasar beli bhn mskan.;Kemarin saya pergi ke pasar beli bahan masakan.
"Bku yng sya bc itu judulnya ""bintang kecil"".";"Buku yang saya baca itu judulnya ""Bintang Kecil""."
Sya pngen blajar bhsa asing spt inggris.;Saya ingin belajar bahasa asing seperti Inggris.
Hri ini crahnya cma mendung dan grm.;Hari ini cuacanya cuma mendung dan gerimis.
Skrng waktunya tlah tibaa, tdr yg nyenyak.;Sekarang waktunya telah tiba, tidur yang nyenyak.
Dri td pagi sampe skrg, sya laper trus.;Dari tadi pagi sampai sekarang, saya lapar terus.
Plajarann hri ini susah bgt, hdp jdi sulit.;Pelajarannya hari ini susah banget, hidup jadi sulit.
Sya pngn brlibur kluar kota, mjauh dri sini.;Saya ingin berlibur keluar kota, jauh dari sini.
Dri tdi aku cma mkn nasi uduk doang.;Dari tadi aku cuma makan nasi uduk doang.
Pnginnya sih mkn eskrim, tpi tdk ad uang.;Penginnya sih makan es krim, tapi tidak ada uang.
Stlah ini pngen nntn flm seru, ada saran?;Setelah ini ingin nonton film seru, ada saran?
Krjaan kmrn byk bgt, hmpir gk brsng.;Kerjaan kemarin banyak banget, hampir gak beresang.
Skrng lg musim hujan, bs jdi sgtu mengganggu.;Sekarang lagi musim hujan, bisa jadi sangat mengganggu.
Kmrin ke jgja, byk mkn makanan enak.;Kemarin ke Jogja, banyak makan makanan enak.
Tlng brikan air minum, hdp di sini panas.;Tolong berikan air minum, hidup di sini panas.
Skrg tghri, wktu yg tpat untk istirahat.;Sekarang tengah hari, waktu yang tepat untuk istirahat.
Aku pngen jalan2 ke pnatapan indah.;Aku ingin jalan-jalan ke puncak pemandangan indah.
Hri ini sya pngen bgt mnum kopi hangat.;Hari ini saya ingin banget minum kopi hangat.
Saya pia hobi membaca bukau.;Saya punya hobi membaca buku.
Lapangan bolat tersebut sangat lah luas dan bisa di manfaatkan untuk berolahraga bagi banyak orang.;Lapangan bola tersebut sangat luas dan bisa dimanfaatkan untuk berolahraga bagi banyak orang.
Kamu mau kemeja merah atau hitam?;Kamu mau kemeja merah atau hitam?
Olahraga rutih membantu menjaga kesehatan tubu.;Olahraga rutin membantu menjaga kesehatan tubuh.
Dia sudah berdandan dan siap untuk pergi krumah sakit.;Dia sudah berdandan dan siap untuk pergi ke rumah sakit.
Mereka berkumpul di tepianan sungai untuk memancing bersama.;Mereka berkumpul di tepi sungai untuk memancing bersama.
Tolong bantu saya mencraakan bunga mawar ini, yakin harus hati-hati.;Tolong bantu saya merawat bunga mawar ini, harus hati-hati.
Mobilku akan di parkirkan di halaman belakang sekolag.;Mobilku akan diparkirkan di halaman belakang sekolah.
Kambing ternak dia bagiu sekali.;Kambing ternaknya bagus sekali.
Jalan lurus terus hinggak sampai di taman kota.;Jalan lurus terus hingga sampai di taman kota.
Tomat dan timun adalah buah-buahan yang saya tanam di kebunku.;Tomat dan timun adalah buah-buahan yang saya tanam di kebunku.
Jangan larang saya pergi ke pesta ulang tahun temanku.;Jangan larang saya pergi ke pesta ulang tahun temanku.
Dia sedang menulis cerpokan di buku tulisnya.;Dia sedang menulis cerpen di buku tulisnya.
Dia mengenakan bajau hitam dengan sepatu olahraja warna putih.;Dia mengenakan baju hitam dengan sepatu olahraga warna putih.
Ibu memasak makanan favoritku, yaitu sop ayam.;Ibu memasak makanan favoritku, yaitu sop ayam.
Kucingku suka bermain dengan kerajang anyam yang berwarna meriah.;Kucingku suka bermain dengan keranjang anyam yang berwarna meriah.
Selain bermain musik, dia juga suka menarai lukisan.;Selain bermain musik, dia juga suka menari dan melukis.
Gadis itu mempunyai sifat yang ramah dan baik.;Gadis itu mempunyai sifat yang ramah dan baik.
Saya mau berenang di kaolam renang itu.;Saya mau berenang di kolam renang itu.
Setiap harinya saya sarapn dengan teh tarik yang manis.;Setiap harinya saya sarapan dengan teh tarik yang manis.
Saya suka mkan nasi goreng.;Saya suka makan nasi goreng.
Asyiknya bermain gitar adlah saat bisa mengiringi lagu-lagu kesyangan.;Asyiknya bermain gitar adalah saat bisa mengiringi lagu-lagu kesayangan.
Hri ini, sya plajar bahsa isyarat dngan seru.;Hari ini, saya belajar bahasa isyarat dengan seru.
Bukunya adlah milikku.;Bukunya adalah milikku.
Apa kmu skarang sdang mncari teman?;Apa kamu sekarang sedang mencari teman?
Aku suka menonton fiml action.;Aku suka menonton film action.
Msa depan akan lbih brwarna.;Masa depan akan lebih berwarna.
Siapa namamu? Ak brnama Rian.;Siapa namamu? Aku bernama Rian.
T4 bermain kita ada di taman dpan.;Tempat bermain kita ada di taman depan.
Bntuknya yg bru lbih bgs.;Bentuknya yang baru lebih bagus.
Jngan prnah mnyrahtugas ke orng lain.;Jangan pernah menyerahkan tugas ke orang lain.
Wktu itu ak sdang bermain km di pantai.;Waktu itu aku sedang bermain kamu di pantai.
Mreka srg mrancang pnikahan idaman.;Mereka sering merancang pesta pernikahan idaman.
Bila ad msalah, akn kmi bcarikan slusinya.;Bila ada masalah, akan kami carikan solusinya.
Jdikanlah hr ini lbih indah dr hari kemrin.;Jadikanlah hari ini lebih indah dari hari kemarin.
Hargai prasaan org lain, jngan slalu egois.;Hargai perasaan orang lain, jangan selalu egois.
Ak suka lbrarian karna bnyak buku.;Aku suka perpustakaan karena banyak buku.
Sya sngt mnantikan pesta akhir tahun ini.;Saya sangat menantikan pesta akhir tahun ini.
Dalam kmari ini, tdk boleh ad asap rokok.;Dalam kamari ini, tidak boleh ada asap rokok.
Mrupakan hal yg pling diinginkan ialah kebahagiaan.;Merupakan hal yang paling diinginkan adalah kebahagiaan.
Disini saya suka makan ayam gorang.;Di sini saya suka makan ayam goreng.
Kemarin saya beli sepatu ditoko kakak.;Kemarin saya beli sepatu di toko kakak.
Dia tadi sedang membaca buku di perpustakaan.;Dia tadi sedang membaca buku di perpustakaan.
Aku ingin pergi kesana, tapi tidak punya waktunya.;Aku ingin pergi kesana, tapi tidak punya waktunya.
Harganya cukup mahal, tapi kualitasnya bagus.;Harganya cukup mahal, tapi kualitasnya bagus.
Kamu mau ikut pergi ke pesta itu besok?;Kamu mau ikut pergi ke pesta itu besok?
Tolong antar surat itu ke kantor pos.;Tolong antar surat itu ke kantor pos.
Saya ingin membeli baju yang berwarna mirah.;Saya ingin membeli baju yang berwarna merah.
Kemarin dia terlambat ke sekolah karena bangunnya terlalu akhir.;Kemarin dia terlambat ke sekolah karena bangunnya terlalu akhir.
Ayah sedang pergi ke luar kota untuk urusan bisnis.;Ayah sedang pergi ke luar kota untuk urusan bisnis.
Pada saat musim panas, suhu udara bisa sangat panas.;Pada saat musim panas, suhu udara bisa sangat panas.
Tolong tutup pintu dan jendela sebelum tidur.;Tolong tutup pintu dan jendela sebelum tidur.
Anjing itu sangat menggemaskan dengan bulu lembutnya.;Anjing itu sangat menggemaskan dengan bulu lembutnya.
Aku ingin belajar bermain gitar di waktu luang.;Aku ingin belajar bermain gitar di waktu luang.
Tolong berikan aku satu gelas air dingin.;Tolong berikan aku satu gelas air dingin.
Aku sering pergi ke taman untuk bermain dengan teman-teman.;Aku sering pergi ke taman untuk bermain dengan teman-teman.
Buku yang dia baca memiliki cerita yang menarik.;Buku yang dia baca memiliki cerita yang menarik.
Ayah sedang mencari pekerjaan yang lebih baik.;Ayah sedang mencari pekerjaan yang lebih baik.
Apa kamu tahu dimana aku bisa mencari buku ini?;Apa kamu tahu di mana aku bisa mencari buku ini?
Hari ini cuaca sangat cerah dan menyenangkan.;Hari ini cuaca sangat cerah dan menyenangkan.
Saya skau teh panas dingin.;Saya suka teh panas dingin.
Kalmiat ini sulit dipaham.;Kalimat ini sulit dipahami.
Saay suak makan nanas di pagi hari.;Saya suka makan nanas di pagi hari.
Aku ngiat belajr biar bisa lulus ujiaan.;Aku berusaha belajar biar bisa lulus ujian.
Saya tahu kmu tah sedang ada masalaah.;Saya tahu kamu sedang ada masalah.
Ayo pergi ke parkir bareng-bareng.;Ayo pergi ke parkir bareng-bareng.
Kita haruus ke restaran itu lagi, maknannya enak.;Kita harus ke restoran itu lagi, makannya enak.
Tolng bantuan saaya, saya tersesat.;Tolong bantuan saya, saya tersesat.
Dirumah saya ada tiga kucing, dua anjing, dan sekumpulan ikan.;Di rumah saya ada tiga kucing, dua anjing, dan sekumpulan ikan.
Kucing itu warnanya oren dengan garis-garis hitam.;Kucing itu warnanya oranye dengan garis-garis hitam.
Jgn lupa mmbawa payung, cuaca hari ini cerah tapi bisa berubah tiba-tiba.;Jangan lupa bawa payung, cuaca hari ini cerah tapi bisa berubah tiba-tiba.
Aku pernah kemari waktu aku sd, tempatnya ga terlalu jauh dari sini.;Aku pernah kemari waktu aku SD, tempatnya ga terlalu jauh dari sini.
Tolong kirimkan alamat lengkapnya, saya akan segera mengantar pesanan Anda.;Tolong kirimkan alamat lengkapnya, saya akan segera mengantar pesanan Anda.
Acara tersebut akan dilaksanakan di gedung serbaguna.;Acara tersebut akan dilaksanakan di gedung serbaguna.
Ayok cepetan siap-siap, kita mau berangkat.;Ayok cepetan siap-siap, kita mau berangkat.
Saya suka musik, khususnya genre pop dan rock.;Saya suka musik, khususnya genre pop dan rock.
Apakah kamu tahu cara masak mie goreng yang enak?;Apakah kamu tahu cara masak mie goreng yang enak?
Rumahku dekat dengan stasiun kereta api.;Rumahku dekat dengan stasiun kereta api.
Aku ingin belajar memasak sup yang lezat.;Aku ingin belajar memasak sup yang lezat.
Nanti malam aku mau nonton film horor, siapa mau ikut?;Nanti malam aku mau nonton film horor, siapa mau ikut?
Saya suka banngt mkaan nasi kerbau.;Saya suka banget makan nasi kerbau.
Besok mau main kmna blum tau ni.;Besok mau main ke mana belum tau nih.
Cntok bngt bln ni trngnya.;Cantik banget bulan ini terangnya.
Ktmu tman kmaren dy brubah bnget.;Ketemu teman kemarin dia berubah banget.
Skrng lgi ngetrn di pntai.;Sekarang lagi ngetren di pantai.
G prnh brfikir bhw kmu akn dtang.;Gak pernah berfikir bahwa kamu akan datang.
Aku ska smua jenis buah krus.;Aku suka semua jenis buah krus.
Hri ini crahnya pda trgang di mna?;Hari ini crashnya pada terjadi di mana?
Lgsg dtng aj, gw pngen cpt bngt ketemu.;Langsung datang saja, aku pengen cepat banget ketemu.
Jdi gtu deh brti ga jd trveling.;Jadi begitu deh berarti gak jadi traveling.
Cwo yg dtang kmaren cakep bnget.;Cowo yang datang kemarin cakep banget.
Abis ni brangkat ya, ujan2 gini enaknya minum kuhaat.;Abis ini berangkat ya, ujan-ujan gini enaknya minum kuhar.
Kapan ni km dtang lg?;Kapan nih kamu datang lagi?
Shari ini kls libur, gtu jdnya akn mkn di luar.;Hari ini kelas libur, gitu jadinya akan makan di luar.
Bru kali ini hujn turun deres bgnti.;Baru kali ini hujan turun deras banget.
Gk jlas, dy brgkat dri rmh mreka.;Gak jelas, dia berangkat dari rumah mereka.
Mggu dpn aku dtng ke tmpat kmu ya.;Minggu depan aku datang ke tempat kamu ya.
Bju yg kmarin km pkai bgus bngt.;Baju yang kemarin kamu pakai bagus banget.
Mau nanya ni, nanti dmna ni blm tau ni.;Mau nanya ini, nanti di mana belum tau nih.
Lg apa, kok sms ga brsuan?;Lagi apa, kok sms ga beres-beres?
Sahy ingin mkn bakso sore ini.;Saya ingin makan bakso sore ini.
Tasnya adek ku ada tdi d kursi.;Tasnya adikku ada tadi di kursi.
Cita-citaku jd insinyur kren.;Cita-citaku jadi insinyur keren.
Cuaca d luar brhujan derras.;Cuaca di luar sedang hujan deras.
Aku pngin bca bku trbit.;Aku ingin baca buku terbit.
Anaknya sdh tumbuh jdi rmbutnya pndek.;Anaknya sudah tumbuh jadi rambutnya pendek.
Skrg tgh mlm trlihat byk bintang di angkasa.;Sekarang tengah malam terlihat banyak bintang di angkasa.
Syg, aku mskkin rindu kpdmu.;Sayang, aku semakin rindu kepadamu.
Kucing tetangga sering dtg k rmh kita.;Kucing tetangga sering datang ke rumah kita.
Tmn-tnku sdg brmain di taman.;Teman-temanku sedang bermain di taman.
Mereka pngin pindah k rmh bru.;Mereka ingin pindah ke rumah baru.
Dya trlihat sngt mncintaiku.;Dia terlihat sangat mencintaiku.
Brp kali harus kukatakn, aku tdk suka pedas.;Berapa kali harus kukatakan, aku tidak suka pedas.
Akhir pekan ini akan kmi gunakan untuk brlibur.;Akhir pekan ini akan kami gunakan untuk berlibur.
Ayah trlihat keren memakai jas.;Ayah terlihat keren memakai jas.
Syukurlah, kucingnya slamat dri kmlptan.;Syukurlah, kucingnya selamat dari kecelakaan.
Apa yg kamu lakukan skrg, tdk adil!;Apa yang kamu lakukan sekarang, tidak adil!
Mkanan di restoran itu sngt luar biasa.;Makanan di restoran itu sangat luar biasa.
Tolong bls pesanku yg trakhir.;Tolong balas pesanku yang terakhir.
Skolahnya berada di jalan yng sama.;Sekolahnya berada di jalan yang sama.
Sya marw bkerja dlm kntor.;Saya mau bekerja dalam kantor.
Bsa tolng bantu sya mmbuang smua smpt di dapur.;Bisa tolong bantu saya membuang semua sampah di dapur.
Saya ska bercnda dngan teman-teman sya.;Saya suka bercanda dengan teman-teman saya.
Mrka mnum kopi di krjaaan.;Mereka minum kopi di kantoran.
Amatilah burung-burung di angkasa.;Amatilah burung-burung di angkasa.
Skrg tlah waktunya untuk prgi.;Sekarang telah waktunya untuk pergi.
Saa sdah tncapai impian saya mnjadi insinyr.;Saya telah mencapai impian saya menjadi insinyur.
Ayah tlah mmbeli hadiah ulang tahun untuk saya.;Ayah telah membeli hadiah ulang tahun untuk saya.
Aku prgi k tmpt tman ku.;Aku pergi ke tempat teman ku.
Ktika mndengar mskikat burung, hati ku mnjadi senang.;Ketika mendengar merdu kicauan burung, hati ku menjadi senang.
Abaikan pnghalang dan truslah brjuang.;Abaikan penghalang dan teruslah berjuang.
Kita hruang pilih jlan kita sendiri.;Kita memiliki pilihan jalan kita sendiri.
Kucing-kucing itu sngat mnarik.;Kucing-kucing itu sangat menarik.
Sya suka mknanan pedas.;Saya suka makanan pedas.
