text;labels
kmudntnghdimnarrtmbhmknsmua;Kamu sudah tidak di mana-narik tambah makan semuanya.
kitarudptkpntingnsgtkpntngnybhgikn;Kita rudapet kan penting esegi tidak pentingny bhagikan.
mrkbrngkrjrpdnnpdstpbhagikn;Mereka berangkat rujuk jadi tidak sepadan sebaiknya.
ayahkmungkulialhjauhdarikmu;Ayah kamu unggul jauh dari kamu.
jngnldkujwbnckbktntng;Jangan ledek ujubuncek batu penting.
sbubktkdhbsslamaakulngjwbn;Sibu buat kudu habis selama aku lama jawaban.
akumngntnsihslampnjgwlwbgr;Aku menge-tensi selamanya panjang wilayah barat.
ktmlhmrhhblngtkslmatmlmsntlkmdrm;Kita mulai merah habis langit kisah selamat malam santai kamu dramatis.
mrkpntngkrjabdlnmkddlmkmbrktn;Mereka penting kru jabat tangan kamu dalam kembalikan.
akusukaeksekusirencanaygdikatakandengankalian;Aku suka eksekusi rencana yang dikatakan dengan kalian.
kmusudhsmpaitdiapahtugascantikini;Kamu sudah sampai di apa tujuan cantik ini.
kitajanganlupatentukankodetemanrahasiakita;Kita jangan lupa tentukan kode teman rahasia kita.
mrkktawapentingnyamanusiamusia;Mereka keta wa penting nyaman usia musia.
akubngungapaharusbertindaksekarang;Aku bingung apa harus bertindak sekarang.
apakahkauingindatangkesalahsatuacaraku;Apakah kau ingin datang ke salah satu acara aku.
kitatdkbisaapabilaingatantemanlamakita;Kita tidak bisa apa bila ingatan teman lama kita.
kmutlahsatu-satunyaygdapatmemahamiku;Kamu lah satu-satunya yang dapat memahami aku.
akubersenanghatimenyanyisambilmenaridengankawan-kawanku;Aku bersenang hati menyanyi sambil menari dengan kawan-kawanku.
merekamengunjungikamidiselingkungandesahterdalam;Mereka mengunjungi kami di selingkungan desa terdalam.
apakahkamumauikutbermainbolaakandengankami;Apakah kamu mau ikut bermain bola akhirnya dengan kami.
kmudengansingkatmengatasihambatanygbtangguhkmu;Kamu dengan singkat mengatasi hambatan yang mengganggu kamu.
sayamemintamaafapabilatelahmenyinggungperasaanmu;Saya meminta maaf jika telah menyentuh perasaanmu.
mrkmengajakkitakepantaidantetapimerekatidaktahu;Mereka mengajak kita ke pantai, tapi mereka tidak tahu.
apakahadakesalahan yangtelahkubuat;Apakah ada kesalahan yang telah kubuat?
sayapikirakukekuranganminumandemisehari;Saya pikir aku kekurangan minuman demi sehari.
mrkpergilari-laritandatanganposteridolakesayanganmrk;Mereka pergi lari-lari tanda tangan poster idol kesayangan mereka.
kitamenyambutdatangnyateman-temanbaikkitadengantapiseseruan;Kita menyambut datangnya teman-teman baik kita dengan tapi seseruan.
akumemilikipendapatyangberbedadenganpendapatmu;Aku memiliki pendapat yang berbeda dengan pendapatmu.
kmudengansabartelahmengatasisemuaujibuburnya;Kamu dengan sabar telah mengatasi semua uji buurnya.
akuprngnbljbbnyknkakiikmr;Aku ingin berlibur nyaman kaki ini kamu.
kmusdhbtlditkriminuksdiatasmejaku;Kamu sudah batal diturunkan uks di atas meja aku.
ktabukntrmskdsatupersatuanmlm;Kita bukan termasuk dalam satu persatuan malam.
mrkmnjalinjdikwnkemudhntprgi;Mereka menjalin jadi kawan kemudian pergi.
akupnyushgdngnperasaninigulaa;Aku punya sungguh dengan perasan ini gula.
apakhlmtpaketrsebutlbhlmbrmnfayanglbhterkini;Apa hal mutu paket tersebut lebih lompat manfaat yang lebih terkini.
ktatnggappentngntnghsldisisikamip;Kita tanggap penting entah selesai disisi kami.
kaudkmsmklhthlabptgaulgdnntng;Kau dukam semakin lah habis pagi alam gading tidak penting.
ktasngatsknnglmenghargaimsetidsbliktprjaht;Kita sangat sekenang menghargai musim setiap sebelum keterjagaan hati.
mrkbljrsaingjauhtrsknnntpkmulahmrlupakanmrk;Mereka belajar saing jauh teruskan namun merelupakan mereka.
akubkntrlaluberktnghnrungpadatanganmu;Aku bukan terlalu berkatangkaran padatanganmu.
kmlahpendapattkunikygselalumenyentuhhatiku;Kamu lah pendapat yang unik yang selalu menyentuh hatiku.
mrekdahmlympntgdlmkrjahtpmikmumencobammbntuknyarindu;Mereka daham limpang dalam kerja hati tapi kamu mencoba membantu nyari indu.
akujgmnghngntprhaltersebutdikmrnbbkankeadaanmu;Aku juga menghargai pertahal tersebut dikemarin bukan keadaanmu.
kmudngnkmersmngmpnyngmntgatbrshcintaku;Kamu dengan kemesraan gumpang menghantarkan berisi cinta aku.
akugakbsapagangnomerhpmu;Aku gak bisa apa-apa gang nomer HP kamu.
kmudtgidihpksiap;Kamu sudah tidur di HP siap?
kmumausampejamumalemini;Kamu mau sampai jamu malem ini?
ayocepekcobilagihprsbbhabisini;Ayo cepat coba lagi PR sambil habis ini.
mrkdtngnyarnihrbrpjm;Mereka datangnya hari ini berapa jam?
maapakulupatmanggilnimae;Maaf aku lupat manggil namae.
kitakumpuldiwarungyahjamlima;Kita kumpul di warung ya jam lima?
kmubbrpkadibanngapaksini;Kamu bubar apa di ban ngapak sini?
akumaujompetualangbaredinimalamini;Aku mau jompetualang bareng dini malam ini.
mrkblgajariajarhitunganbisaceilnya;Mereka bilang ajar-ajar hitungan bisa cek ilnya.
akutakmampirkinukmukaarekamu;Aku tak mampir kini uku muka are kamu.
kitacetarmembahasmateriterakhirsidini;Kita ceta-rmembahas materi terakhir si ini.
akumaukemanselbathabisnyagampangkan;Aku mau ke mansel batu habisnya gampang kan.
kamulupernahcobadonaturldkmabuktinya;Kamu luper nah coba donatur ldkm abuktinya?
kmumaukepacarkamuatauketinggalandirmudini;Kamu mau ke pacar kamu atau ketinggalan dirimu ini?
akusukaminygseringmabarbareng;Aku suka kamu yang sering main bareng.
kmumauikutskrang;Kamu mau ikut sekarang?
dianygsukabgtmakanbakso;Dian yang suka banget makan bakso.
kmudengarmusikapayglainggmembuatnytenteram;Kamu dengar musik apa yang lain gak membuatnya tenang.
akuletygabutnggkmubaikinya;Aku lety gabut nih gak mau baiknya.
kmulupaapakhrinih;Kamu lupa apa hari ini?
kitajalansmpepelabuhantrusnaikferinaikbis;Kita jalan sampai pelabuhan trus naik feri naik bis.
akudanmamanghidupisdktjauh;Aku dan mamang hidup is di kit jauh.
kmujgaketawanlgiyagak;Kamu juga ketawa lagi ya gak?
kitasudahkenalgak;Kita sudah kenal gak?
kitasudahkenalgakakudanadakelasdlmbrpjamlagi;Aku dan ada kelas dalam berapa jam lagi.
kmubisahadiriulangantahunkakakmu;Kamu bisa hadiri ulang tahun kakakmu?
kitajalan-jalankemanaajadahariini;Kita jalan-jalan kemana aja dahari ini?
kmulupakabarudahlama;Kamu lupa kabar udah lama?
akusukanyanyidandengandiajugitupula;Aku suka nyanyi dan dengan dia juga gitu pulai.
akugapernahkemarinsinggahdiskolahmu;Aku gak pernah kemarin singgah di sekolahmu.
kmulgkamarucastatusnyadarivcgak?;Kamu lupa kamu cari statusnya dari VC gak?
akulgpulasmpemaafkanygsebenarnya;Aku gak pulas maaf yang sebenarnya.
kmukmrenngajarkanikutanyariinnih;Kamu kamu emang ajarkan ikutan dari ini nih.
akutdksukakakakucarikamudulu;Aku tadi suka kakak cari kamu dulu.
kmubnerknyaakanmenikahdengannyasih;Kamu benarkah akan menikah dengan nyasih?
akugakberaonekbaruharilainnih;Aku gak berani ngebaruhari lain ini.
kmubseringdatangkerumahkutah;Kamu bener sering datang ke rumahku tah?
akutdakbiasajauhjauhdarikakakucucu;Aku tadi gak biasa jauh-jauh dari kakaku cucu.
kmumaludukungkunihnyanyikaraoke;Kamu malu dukungku ini nyanyi karaoke.
akukdakjadimelakukanbanyakhalnanti;Aku gak jadi melakukan banyak hal nanti.
kmubisaausruhakusampaijamsekian;Kamu bisa ausruh aku sampai jam sekian?
kitapergikemarketbelikemanaajakemarin;Kita pergi ke market beli kemana aja kemarin?
kmudanakuberduaduadimasainimalemnya;Kamu dan aku berdua dua dimasai nih malemnya.
akutdaksukabgtmemasakapahapriinih;Aku tadi gak suka banget memasak pada hari ini
akugamaukemarinbersamakamu;Aku gak mau kemarin bersama kamu.
kmlgkangenbgtbisaauptembakannasiudahlama;Kamu lagi kangen banget bisa up tembak nasi udah lama.
akulagisantaimengadakankumpulbarengtemen-temen;Aku lagi santai mengadakan kumpul bareng teman-temen.
kmumauikuttidurdikamarapa;Kamu mau ikut tidur di kamar apa?
akupengennontonfilmyangbagusgimana;Aku pengen nonton film yang bagus gimana?
kmtgsayangbgtmaksudnyakemasukanacaraapa;Kamu tadi sayang banget maksudnya kemasukan acara apa?
akudanmamatadisinggahkemalaminidiperjalanan;Aku dan mama tadi singgah kemalaminid di perjalanan.
kmbgsantaimakanmalambersamaacaraapa;Kamu bagaimana santai makan malam bersama acara apa?
akutidurmendekatihsmpagesekjamdualebih;Aku tidur mendekati HSMP agak esek jam dua lebih.
kmugapernahmampirtokobukuyangbagusitu;Kamu gak pernah mampir toko buku yang bagus itu?
akutadijaditemanprianaksulungdeh;Aku tadi jadi teman prianya anak sulung deh.
kmumauikutmakanmalamditempatyangenyamankah;Kamu mau ikut makan malam di tempat yang enyamankah?
akusukakalengantibisfasyedengannihsob;Aku suka kalengan tibis fas yedengan ini sob.
kmubisakebantalberbagipengalamankebahagiaan;Kamu bisa ke bantal berbagi pengalaman kebahagiaan?
akumausantaitidakmikirmasalahsulitnya;Aku mau santai tidak mikir masalah sulitnya.
akusukamknyangmaniaygadagaram;Aku suka makan yang manis yang ada garam.
kmumbwabisaktemansdikitlg;Kamu mau bawa bisa ketemans sedikit lagi?
akubnghppybngrjlnsdgprwtnpbrhenti;Aku benar-benar happy banget pergi seorang pun tidak pernah berhenti.
kmuzmnbcrgmtmmuknrhmurtgmlagi?;Kamu zaman sekarang beragamnya mukanya rumah murti malah gak lagi?
akugkssbrngngggplmabisahppy;Aku gak sanggup ranggang gemes pengen lambai bisa happy.
kmumauikutnontonbioskopapa?;Kamu mau ikut nonton bioskop apa?
akudnkmubnduabnduakaliudhrinikalahlomba;Aku dan kamu berdua berdua kali udah ringan ini kalah lomba.
kmubnykjrgngkrmnsabarmnungguketrmn;Kamu banget yang jarang engkraman sabar menunggu keturunan.
akupegntttnbibiprjlnanhriini;Aku pengen tatan bibi perjalanannya hari ini.
kmudngancrpdaknyamanmkanmlebihbagus;Kamu dengannya ceria pendak nyaman makan lebih bagus.
akustnghbljrktikapmblikkejakarta;Aku sedang belajar kota tikapulang ke Jakarta.
kmubshjtnggtutglbrpgilmadunahari;Kamu bisa hujan terus tanggal berapa giliran muda nanti hari.
akunggplkhjhnbnyakamknmalm;Aku nggak polah jinak banyak makan malam.
kmuhrusbtrimapendapatanygdibri;Kamu harus betul-betul terima pendapatannya yang diberi.
akuklhtglahirmmngkmusebskali;Aku kalah tanggal lahir memang kamu sebesar kali.
akumaujlnjlnsmpeksanadipantai;Aku mau jalan-jalan sampai eksanadipantai.
kmugplgakutakutnaikrollercoaster;Kamu gapapa lagi takut naik roller coaster.
akusukabgtmknayamygdisajikanhngtgn;Aku suka banget makan ayam yang disajikan hangat banget.
kmubngngertiapakeomgdjaitukogrhcepkali;Kamu bingungnya tiap pake omdo jadi tuh kecepatan cepat kali.
akutidurngedamamrnangisppagimalam;Aku tidur ngedamai sambil nangis pagi malam.
kmusukakluargabnykukhususkluargudkm;Kamu suka keluarga banget khususnya keluarga dekatmu.
akupgndresspgimnabisakskipmengerasihraya;Aku pengen dress sapa gimana bisa skip mengerasi hari-hari.
kmugppergipasarbsamamublngkrjabisajalan;Kamu gapapa pergi pasar bareng sama kamu belanja kerja bisa jalan.
akubngngrasaasyiknyaadaacarabgtsamakmu;Aku bingung rasanya asyiknya ada acara begitu sama kamu.
kmujngncrsmusnontondigangtempatbagus;Kamu jangan ceroboh sembarangan nonton di gang tempat bagus.
akuskkngncrrumahadikmauktngnntntuk;Aku suka kepengin ceria rumah adik mau ketangkep untungnya.
kmugpnghargacintagrumhblksmblbnykbelanja;Kamu gapunah harga cinta gurumah balik sambil banyak belanja.
akucrmhnggpwrdhpketglanak-anak;Aku ceremah nggak pernah dhop ketegalan anak-anak.
kmugksshrgmbelirumhtinggalngetikaja;Kamu gak sahur gimana beli rumah tinggal ngetik aja.
akuhrsbrpntnggrpbgtunghrsmpilpntgtrgt;Aku harus berpantang gugut betul tungguh rumpun tenggara.
akuudhskpokoknyukbanget;Aku udah skip, pokoknya ukuran banget.
kmuhrsjanbngtuhtidur;Kamu harus jangan begitu tidur.
akutbktnyrsmsmpainankini;Aku tabikin yaris sampai anakan ini.
kmutdkkshngrhbrgmrjdfnyttnghni;Kamu tidak kasih energi barang mungkin ada fitnah ini.
akuslalusmpltugasnyasdikitpndhitng;Aku selalu sempat tugasnya sedikit pandang.
kmukiraiyngbgtusgkoreandeketku;Kamu kirain yang begitu suka Korea deketku.
akunganggptrsebarptusampaymawarti;Aku nggak pernah tersebar putus sampai mau arti.
kmugksrhbsbdaikarantinasampainya;Kamu gak sahur habis bedak karantina sampainya.
akucumbuhrsgakbilangadabersyukur;Aku cuma buhur saja gak bilang ada bersyukur.
kmulihatkdngnbkikudngtngokukitukini;Kamu lihat kadang bikin dungu tangan gokil ku kitukini.
akudngkkmugtgldiblokiraluhpnstymngkjktp;Aku dengku kamu gatel diblokir aluh punya sitymangkuk jatuh.
kmugakgnggwlngkngntukkkmbkandngnpdngng;Kamu gak gonggong wong gak ngantuk kembang andong pendengung.
akuskkupinjahandirndngknjlikn;Aku suka pinjam tangan dirundingkan jalan-jalan.
kmupergirajinknmlmngnswagtugrjkrjgmlm;Kamu pergi raih izin malam mengenai seberapa tujuh kerja malam.
akugpglsuarnyamgtrakhirinigndrndin;Aku gapapa gilas suara yang terakhir ini gandeng rindu dalam.
akupegiwarungblajarngopi;Aku pergi warung belajar ngopi.
kmukmrenbgtptgasukagalau;Kamu kamu emang bete, pusing galau.
akucaresskmaudiikutin;Aku cari sesuatu mau diikuti.
kmugakbsrgukumairdngnidur;Kamu gak bisa tidur cuma mikirin.
akutidurdlamtngtngn;Aku tidur dalam tangtungan.
kmuksukmbacabuku;Kamu suka membaca buku.
akubingungmengurusitupunyacaramudong;Aku bingung mengurus itu punya caranya dong.
kmupengengaksespensilitasfiturnya;Kamu pengen akses semua fasilitas fiturnya.
akugabisaikutkepestaitu;Aku gak bisa ikut ke pesta itu.
kmujanganberisiklagipedulilah;Kamu jangan berisik lagi, pedulilah.
akusukamainbarengtemankuterkadang;Aku suka main bareng teman, terkadang.
kmupengencobauranganyangbaru;Kamu pengen cobain yang baru.
akurencanamaksimalinhariinisampai;Aku rencana maksimalin hari ini sampai.
kmugapapaasyiknyaikutkeacaraini;Kamu gapapa, asyiknya ikut ke acara ini.
akupengentahuapaangkrjbrdmksmg;Aku pengen tahu apa yang kerja berdamai samgak.
akuuhrsmugaprjgmngrjapkunyituh;Aku udah semangat banget projeknya mau jalan kayak gitu tuh.
kmudgmksdnyataukahbrbrkisahku;Kamu juga mesti tahu kah berbagai kisahku.
akuhmmntpsmkanbuburayamnyadulu;Aku hmmm enak semangkuk bubur ayamnya dulu.
kmupjgbsnhbrnudibagusintahdah;Kamu juga bisa nih brani udi bagus, intinya dah.
akukmurencanainmknmalamsamayuk;Aku kamu rencanain makan malam sama yuk.
kmugapprcayagakssuktgaldiagnslain;Kamu gak apa-apa, percaya gak suka, tanggal dian Slian.
akujujurlgigapernahngmgur;Aku jujur, lagi gak pernah ngomong gur.
kmujgntrllluistighirukrguzrdbntar;Kamu jangan terlalu istighfar kurang uzur, deh, ntar.
akucarikatemucibayarpajaknyataukangkrg;Aku cari kate, mucibayar pajaknya tau kan, gak kurang.
kmuudhkrgngmgurustgsnysadarituh;Kamu udah kurang ngomong guru, tugasnya sadar itu.
akurmpgngntuknycrcrenssatutwt;Aku rumpegang niat nyari cinta satu Twitter.
kmuklhtnyrindurumhtidurmhtg;Kamu kelihatannya rindu rumah tidur mah gitu.
akutdkslrngsngmgmlmbrnyayngpntng;Aku tadi kesel rangsang ngomong malam barunya yang penting.
kmubnrnbncrandektniygntngin;Kamu bener banget sering deketin yang penting.
akutdkuskkplajrpngensngssmkna;Aku tadi kusak-sak pelajar pengen sungguh-sungguh semangat nih.
aqmaungdatsmsmaaibuk;Aku mau ngadat sama ibuk.
kmumknjmiramalausmangatsma;Kamu mungkin jadi rama-rama laus semangat sama.
akuudhmngatpuyengnyarumahbaru;Aku udah mulai puyeng nyari rumah baru.
kubnerbgnksluruhharikrn;Kubangun keseluruhan hari kerjaan.
akubisarmangngeresmeletakinnya;Aku bisa saja manggung resmi letakinnya.
kmujngknbnyngnyarumahtpjg;Kamu jangan kenapa-kenapa nyari rumah yang panjang.
akubukapitapitusampekndut;Aku buka pintu sampai ndut.
kmugmngntulitapstmgkatrpjg;Kamu gak mengerti lita pesta mangkat terus pajang.
akurmpngmgmrjamduludmslmnibkn;Aku rumpegang mangga marmut jam dulu dimesan ini bukan.
kmudpktmngaptandnyahhhh;Kamu dapet mungkin apa tandanya hahaha.
akuuhhsenengbngetnysukakn;Aku uhh seneng bangetnya suka kan.
kmugatpkramahalbingitsss;Kamu gatapak ramah albingit ssss.
akumaujjlnjmintatmngnt;Aku mau jalan jemintat manget.
kmupstirendhticpntgtpjknyat;Kamu pasti rendah hati, tapi penting tapi jangan nyantai t.
akugapaaikutmujalantapibnyk;Aku gapapa ikut kamu jalan tapi banyak.
akusukabaladaanfotodimedsos;Aku suka baladaan foto di medsos.
kmuksinnggapaaakita;Kamu kok sinis gak percaya kita.
akugakbsukagurautugas;Aku gak bisa suka gurau tugas.
kmubepljrpgjmsokbgt;Kamu bekerja pagi jam sok banget.
akujanjudgnbjrgembrhalnya;Aku jangan judi banjar gembira halnya.
kmuhrsbtahukaumelupikankunci;Kamu harus banget ingat kamu lupakan kunci.
akugapercayakmubrsingucapansntai;Aku gak percaya kamu bisa singgung ucapan santai.
kmubnerbsandngngmbarknprsmpuhan;Kamu bener-bener asyik ngomongin perempuan.
akugapercayakmumnggntikutirumah;Aku gak percaya kamu nggantiin kuti rumah.
kmupsngbgtujutradgalsmua;Kamu pasang banget ujung tradisi galau sama semua.
akuklhtnygapastibisamengaturwaktudgansnang;Aku kelihatannya gapasti bisa mengatur waktu dengan senang.
kmuluputusansampetunikalahkan;Kamu luputusan sampe tuh unik kalahkan.
akumautnggapadakmuuutdktbhagiamudut;Aku mau tanya gak kamu utdikut bahagia mudut.
kmugabngetkerjanyahshbt;Kamu gak banget kerjanya hashbat.
akumauudkskkmujutrugadambongkar;Aku mau udis kamu jutru gada, mbongkar.
akusukamaenbalbear;Aku suka makan bakso besar.
kmudongkoapayasmabngtni;Kamu dong, ko apa ya semangat ini.
akygapundptnntukmngertijknmmk;Aku gak punya uang untuk mengerjakan PRM kamu.
koyangbaruajaataupengena;Koyang baru aja atau pengen aja?
akugaksukabersihbersihkamar;Aku gak suka bersih-bersih kamar.
kmudonloterahbangetyasekrang;Kamu donlot terus banget ya sekarang.
akusependapathadirumahaja;Aku sependapat, hadir rumah aja.
kmulupakebangetmikipinku;Kamu lupa kebangetan mikirin pinku.
akumintasukangotjekajay;Aku minta sukangotjek aja ya.
kmuinibenerbeneringetsamaaku;Kamu ini bener-bener inget sama aku.
akupenasaranberatkemanaaja;Aku penasaran berat, kemana aja?
kmuudahajayaindirikamucukup;Kamu udah ajayain diri kamu cukup.
akugapercayakmumungkintuh;Aku gak percaya kamu mungkin tuh.
kmumengertigaandikitadong;Kamu mengerti gak, ada dikit aja dong.
akutemenviralvideonyadonk;Aku temen viral videonya donk.
akusukamknbaksoakupnjamsembilanmlmdgnkwnku;Aku suka makan bakso, aku punya jam sembilan malam dengan kawan-kawanku.
kmuonokpalingsukasamakmubgtsamakmu;Kamu onok paling suka sama kamu, bener-bener suka sama kamu.
aqgkbskwatgrdualbbhsdwatbsrlg;Aku gak bisa kuat gara-gara libur bhsd, waktunya bener-bener seru lagi.
kmuhrspegijlantnganpamkantglnngntukgdr;Kamu harus pegi jalan, tanggung jawab kamu nungguin gue dulu, nanti gue datangin.
aqgbengngbgtlhrgpulsaqbsngtbykrnntapulsaqabngt;Aku gabeneng banget, lagi pulsa aku abis karena nonton pulsa aku abis banget.
kmupngrtsdahalhargarokoknabrujjksduahrbli;Kamu pengerates sedahal harga rokok, baru jalan-jalan ke s dua, habis beli.
aqgakpercayamantnngselmduathn;Aku gak percaya, mantan selama dua tahun.
kmudnghbsmmnpuklrgagkprl;Kamu udah enggak seminpuh lagi, gak perlu.
aqgakprnahlibrmalammalamrbradabuatsmptnanandik;Aku gak pernah libur malam-malam, rebahan aja buat semptan anandik.
kmudkhrusnbkasbnykbrgbiarsknbykrnjdlsan;Kamu udah harus nabung kasbanget biar bisa kayakan berjualan dlsan.
aqgnkprnahtidurmlmtplimhtpdngnkmu;Aku gak pernah tidur malam tapi lima mata tapi dengan kamu.
kmudgkhruscragansmptnkrnakanmlsakanjln;Kamu udah gak harus cari gans, semptan karena akang maleskan jalan.
aqbgkprsnjam9mlmpdatngindrmu;Aq bagak perasaan jam sembilan malam pada datangin drmu.
kmtugabergairahbgtmncrimawartokredtmna;Kamu tuh gaber gairah banget, mending cium awartokred aja, dimana.
akuhrsglhtucintakamu;Aku heran sih, lagi tuh cinta kamu.
akulglsntapptgnt;Aku lagi sante aja nih, lagi santai santai aja.
kaloakujdbisamngdptnomborwlgndngkpan;Kalo aku jadi bisa manggutin nomor WhatsApp lu gue tungguin nanti kapan.
bnguninydiapkiduajamsetiapharinya;Bangunin dia pukul dua jam setiap harinya.
kmukpanjmprnylengkapdijl;Kamu kepanjangan banget di jalan.
akuashismntptatacadnghhrusbnykbeljr;Aku asyik sih, emang sih emang gitu harus banyak belajar.
kmusmpitkmuslgithrseklngbrdudihthn;Kamu sempit, kamu selalu gitu ya sekolang berdua itu tahun.
apakahkmusksdktihtpkhbaykuh;Apakah kamu sedekat itu sama takapungkah bayi ku huh?
kmubnykngmgtrkhirduani;Kamu banyakan ngomong deh akhir-akhir ini.
akuhrsgpnyahtwritudrilhaq;Aku heran sih, padahal itu dilihat haq.
kmusbsllalubdyahtmnlgnjdgpntapnyajdi;Kamu sebisalah lupa dibalikin aja, temen-temen jadi gak penting banget gitu jadi.
akuuuujgdbisaanmlendukinpsrrmba;Aku ujuga bisa anu malendukin pasar mba.
kmuhrtgtusblmbljar;Kamu hartargetus blom belajar.
akuuhrtawkanuzduamslhku;Aku hartaukanuaz dua masalah ku.
kmudgnmukecapekndngntik;Kamu denganmu kecapek angetnya, nanti ikut juga ya.
akuskgnbrkelasmalestiadaanu;Aku saking baru kelasmalesti ada anu.
akusukamakanpisang;Aku suka makan pisang.
kamumenanyamijacketbiru;Kamu menanyakan jacket biru.
sayasukanimallucu;Saya suka anjing lucu.
kitaselingkusapiknikbulanmadu;Kita selingkuh sambil piknik bulan madu.
merekamembantutumbuhanhidup;Mereka membantu tumbuhan hidup.
bisaditumpangitubanyaktemandisana;Bisa ditumpangi tubuh banyak teman disana.
andakirimkankotakcokelatpadasaya;Anda kirimkan kotak cokelat pada saya.
kalimatituberisambunganpanjang;Kalimat itu berisambungan panjang.
apakahandaseoranggurudisekolahitu;Apakah Anda seorang guru di sekolah itu?
bisakahkamumembantusayamenyapuhelektronik;Bisakah kamu membantu saya menyapu elektronik?
sayapergiuntuktambahannilai;Saya pergi untuk tambahan nilai.
andatidurdiwaktuyangsalah;Anda tidur di waktu yang salah.
kamumelakukankesalahanyangbesar;Kamu melakukan kesalahan yang besar.
akumembacabukubagusharipertama;Aku membaca buku bagus hari pertama.
sayalapartidinilaiyangbaik;Saya lapar tidinilai yang baik.
kamupergikepustakandekatrumah;Kamu pergi ke pustaka dekat rumah.
sayabelajarbahasaindonesiayangbaik;Saya belajar bahasa Indonesia yang baik.
kamuberjalanjalanhitamyangpanjang;Kamu berjalan jalan hitam yang panjang.
sayabermainsepakboladengansemangat;Saya bermain sepak bola dengan semangat.
akumenontondramakoreayangmenarik;Aku menonton drama Korea yang menarik.
andamemelukansayadenganperkataananda;Anda melukai saya dengan perkataan Anda.
sayaberjalanjalanbersamasaudarakandung;Saya berjalan-jalan bersama saudara kandung.
akumemilikikucinghitamyanglucu;Aku memiliki kucing hitam yang lucu.
kamumerokokdilarangdilingkungansini;Kamu merokok dilarang di lingkungan sini.
sayamenyukaidansenidanmusik;Saya menyukai dansa dan musik.
akumembelipeliharamobilbekas;Aku membeli dan menjaga mobil bekas.
kamubertemudengansahabatlama;Kamu bertemu dengan sahabat lama.
sayasukaberjalanjalanbelanjakeliling;Saya suka berjalan-jalan belanja keliling.
kamuadalahseorangpenyanyiberbakattinggi;Kamu adalah seorang penyanyi berbakat tinggi.
sayahobimembacabukutebal;Saya hobi membaca buku tebal.
sayamenyukaidangerakberbariskeren;Saya menyukai tari berbaris keren.
andabermainbolataktikdihujan;Anda bermain bola taktik di hujan.
akumenyanyikandalamduetvokal;Aku menyanyi dalam duet vokal.
kamuberbicarapadawaktuyangsalah;Kamu berbicara pada waktu yang salah.
sayaberlatihseniukirpatung;Saya berlatih seni ukir patung.
kamumemancingdisungaiyangdalam;Kamu memancing di sungai yang dalam.
